"","name","longitude","latitude","prov","marker-color","marker-size"
"1","Danaus plexippus",-157.80444,21.31149,"gbif","#976AAE","small"
"2","Danaus plexippus",-157.70239,21.34359,"gbif","#976AAE","small"
"3","Danaus plexippus",-116.99557,32.84474,"gbif","#976AAE","small"
"4","Danaus plexippus",-99.51645,18.92584,"gbif","#976AAE","small"
"5","Danaus plexippus",-120.842,35.32175,"gbif","#976AAE","small"
"6","Danaus plexippus",-121.19173,35.64366,"gbif","#976AAE","small"
"7","Danaus plexippus",-119.88736,34.42238,"gbif","#976AAE","small"
"8","Danaus plexippus",-90.04508,29.96646,"gbif","#976AAE","small"
"9","Danaus plexippus",-99.37191,18.83774,"gbif","#976AAE","small"
"10","Danaus plexippus",-120.63218,35.12944,"gbif","#976AAE","small"
"11","Danaus plexippus",-84.08201,9.92713,"gbif","#976AAE","small"
"12","Danaus plexippus",-121.92799,36.61691,"gbif","#976AAE","small"
"13","Danaus plexippus",-122.04976,37.55841,"gbif","#976AAE","small"
"14","Danaus plexippus",-122.05012,37.55849,"gbif","#976AAE","small"
"15","Danaus plexippus",-122.04978,37.55933,"gbif","#976AAE","small"
"16","Danaus plexippus",138.6597,-34.91918,"gbif","#976AAE","small"
"17","Danaus plexippus",138.46836,-35.17277,"gbif","#976AAE","small"
"18","Danaus plexippus",-122.35893,38.00244,"gbif","#976AAE","small"
"19","Danaus plexippus",-121.92799,36.61691,"gbif","#976AAE","small"
"20","Danaus plexippus",-121.92799,36.61691,"gbif","#976AAE","small"
"21","Danaus plexippus",-120.63098,35.12881,"gbif","#976AAE","small"
"22","Danaus plexippus",-100.15472,19.69076,"gbif","#976AAE","small"
"23","Danaus plexippus",138.62775,-35.04804,"gbif","#976AAE","small"
"24","Danaus plexippus",138.63484,-34.9213,"gbif","#976AAE","small"
"25","Danaus plexippus",138.6324,-34.92691,"gbif","#976AAE","small"
"26","Accipiter striatus",-76.10433,4.72375,"gbif","#6B944D","medium"
"27","Accipiter striatus",-97.3197,32.8209,"gbif","#6B944D","medium"
"28","Accipiter striatus",-122.26848,37.77092,"gbif","#6B944D","medium"
"29","Accipiter striatus",-108.33665,36.73167,"gbif","#6B944D","medium"
"30","Accipiter striatus",-108.33665,36.73167,"gbif","#6B944D","medium"
"31","Accipiter striatus",-108.33665,36.73167,"gbif","#6B944D","medium"
"32","Accipiter striatus",-122.78289,38.61318,"gbif","#6B944D","medium"
"33","Accipiter striatus",-122.26521,37.80438,"gbif","#6B944D","medium"
"34","Accipiter striatus",-98.00115,32.80013,"gbif","#6B944D","medium"
"35","Accipiter striatus",-76.54262,38.68847,"gbif","#6B944D","medium"
"36","Accipiter striatus",-117.06342,32.55171,"gbif","#6B944D","medium"
"37","Accipiter striatus",-72.58899,43.85346,"gbif","#6B944D","medium"
"38","Accipiter striatus",-122.44022,37.43204,"gbif","#6B944D","medium"
"39","Accipiter striatus",-83.83333,42.33333,"gbif","#6B944D","medium"
"40","Accipiter striatus",-105.15587,40.67825,"gbif","#6B944D","medium"
"41","Accipiter striatus",-105.28614,40.03766,"gbif","#6B944D","medium"
"42","Accipiter striatus",-122.34078,37.84566,"gbif","#6B944D","medium"
"43","Accipiter striatus",-71.75566,44.75393,"gbif","#6B944D","medium"
"44","Accipiter striatus",-76.71522,1.97508,"gbif","#6B944D","medium"
"45","Accipiter striatus",-122.60409,37.87649,"gbif","#6B944D","medium"
"46","Accipiter striatus",-75.9496,37.2124,"gbif","#6B944D","medium"
"47","Accipiter striatus",-93.98621,32.90391,"gbif","#6B944D","medium"
"48","Accipiter striatus",-73.12509,44.34224,"gbif","#6B944D","medium"
"49","Accipiter striatus",-104.0965,20.59113,"gbif","#6B944D","medium"
"50","Accipiter striatus",-121.79133,37.34762,"gbif","#6B944D","medium"
"51","Pinus contorta",-3.6299,55.72854,"gbif","#BD5945","large"
"52","Pinus contorta",-3.64374,55.71668,"gbif","#BD5945","large"
"53","Pinus contorta",-120.04017,38.86617,"gbif","#BD5945","large"
"54","Pinus contorta",-122.27071,47.78014,"gbif","#BD5945","large"
"55","Pinus contorta",-123.80328,39.29045,"gbif","#BD5945","large"
"56","Pinus contorta",20.3504,63.7055,"gbif","#BD5945","large"
"57","Pinus contorta",-120.12815,38.80754,"gbif","#BD5945","large"
"58","Pinus contorta",21.6093,66.0225,"gbif","#BD5945","large"
"59","Pinus contorta",-120.24189,39.43137,"gbif","#BD5945","large"
"60","Pinus contorta",-120.24449,39.43344,"gbif","#BD5945","large"
"61","Pinus contorta",-120.24786,39.43316,"gbif","#BD5945","large"
"62","Pinus contorta",-120.20834,38.89179,"gbif","#BD5945","large"
"63","Pinus contorta",-120.04087,38.83384,"gbif","#BD5945","large"
"64","Pinus contorta",-120.24108,39.43058,"gbif","#BD5945","large"
"65","Pinus contorta",-120.24356,39.43165,"gbif","#BD5945","large"
"66","Pinus contorta",-120.23848,39.43205,"gbif","#BD5945","large"
"67","Pinus contorta",-116.25186,44.76862,"gbif","#BD5945","large"
"68","Pinus contorta",-120.2478,39.43299,"gbif","#BD5945","large"
"69","Pinus contorta",-120.23934,39.43172,"gbif","#BD5945","large"
"70","Pinus contorta",-120.23969,39.43158,"gbif","#BD5945","large"
"71","Pinus contorta",-118.89592,37.3714,"gbif","#BD5945","large"
"72","Pinus contorta",17.7273,65.7646,"gbif","#BD5945","large"
"73","Pinus contorta",-120.24147,39.43061,"gbif","#BD5945","large"
"74","Pinus contorta",-120.24111,39.43073,"gbif","#BD5945","large"
"75","Pinus contorta",-120.24794,39.4329,"gbif","#BD5945","large"
